Sale_YearMonth,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
201304,10046489.67,8419050.027,11915599.63,19700210.92,11068471.25,24537207.26,11910398.78,12210558.14,24111596.47,28488500,13349529.5,8802333.222,14709195.56,10215000,12282812.24,6502590.03,17487100.5,10222491,6904999.5,8932620.25,26105000,9060024,10424999.97,13859039.51,12584647.89,22497703.05
201305,11975568.22,6535999.977,15256637.99,12985995.98,13245254.88,20197278.48,12701374.02,15370535.47,25336911.09,14879660.83,12390596.38,8539758.917,15823716,5689274.895,12164272.33,11017500.05,18864942.07,22700000,8396007.005,10791201.02,10332487,9599206.601,14544457.5,9169616.876,12779568.82,19815435.33
201306,12365862.83,7795246.587,10275467.13,17536234.92,12434503.17,26151772.2,12920269.11,16005214.01,25391879.45,16809983.9,13876056,7565902.509,16248571.17,5575517.25,10524999.71,6913383.333,19957962.58,6917825.757,26999153,9395785.375,9923163.774,8649531.426,16099638.28,9753785.317,19386666.76,7373416.585
201307,8063135.579,5745339.166,15531928.21,21430047.59,8651428.378,25401830.88,11579065.41,14839456.61,21190036.66,20724328.56,6311281,5999950.5,19112036.3,9374929.75,19314862.5,4079999.915,23351582.72,8345263.425,8046204.167,9128819.188,15327899.61,7699856.25,16272495,11299946.5,6073763.333,25741038.19
201308,16206665,7177103.575,20742749.25,17792337.81,8909755.71,24397460.84,13849012.39,7622488.938,18459888.9,11123000,9043453,9722334.333,13317489.48,6653767.25,13017301.81,7858910.25,20243223.47,13620000,6783327.5,7118580.744,8416699.871,13393000,9892755.056,12485000,12392327.25,28021572.35
201309,16423767.8,8233594.085,10963267.67,18731422.93,6902569.465,22147282.72,8710297.904,9039744.286,18974448.35,13445372.81,11775625,7409786.967,8137096.48,14802249.48,17116064.91,9238738.798,21102767.09,15949247,8315415.573,5537364.072,11688740.75,12923305.22,14307673.57,11613166.4,12033588.94,22949692.62
201310,13796681.67,7276892.213,7710000,16405789.84,13259436.08,25364156.95,11624961.97,17598909.35,21752485.03,12293120.31,8376638.861,6153861.04,11480808.75,11444999.5,12732208.19,13144281.35,23093464.63,10712477.76,7684874.625,5409999.638,11522850.29,12954133.33,11744426.44,11411795.24,17632192.99,20791130.08
201311,11238633.8,12049916.67,9851249.147,16845054.6,9449577.144,23493696.7,7770509.893,10775133.85,23558874.7,13335724.62,10021291.17,6619765.192,19544219.57,9129213.6,19349842.44,10878874.9,20940833.64,6028152.885,6810000,5132903.571,12963194.57,14333125.88,14720223.03,6872425,9783921.318,24584327
201312,9643716.667,11460556.88,12799275.16,17627602.35,9942861.191,14234198.23,11580995.69,13648738.53,17011398.77,11196622.91,5951938.796,7438519.342,13438378.09,6415017.25,13369341.49,9207980.508,19236911.61,10013400.58,5818388.333,6431821.553,14117767.53,15712118.43,13545050.16,11075325.07,11914380.32,25187752.36
201401,13914999.84,6732262.463,7973375,15824826.44,13131332.94,27083341.24,15344024.52,12121800,26934675.35,9685720.747,5510644.282,5794587.856,7373243.75,4760525.077,12633989.63,8437777.77,22335903.54,6332150.245,10380941.54,6597187.5,14072684.41,10102949.82,9184328.443,8570725.5,9141614.286,18261585.09
201402,9166714,5724940,15396615.5,21734274.07,12538312.57,23842308.35,14892581.38,13464381.97,29109918.53,8795704.407,10383866.44,9779999.9,13008768.31,7837862.243,16787017.09,10653431.64,18248711.6,10201900.97,9571644.167,9244915.5,13749893.66,9360912.5,13480480.13,7161849.6,10518017.31,17913919.68
201403,12401241.26,6629445.659,8976326.366,16900103.73,11703687.57,26780519.29,12463373,10265909.46,23116714.81,12545018.57,9536250.705,6332297.568,14478749.51,5569118.688,14245392.49,14075083.93,22076998.84,13746552.5,10101500,7184943.332,8666671.212,1546250.11,9884034,9122800.85,18018125,28451349.31
201404,11982439.31,7072989.573,13775912.68,20457046.26,6591756.042,29315566.3,12571330.35,14510422.33,29761385.96,10390812.87,6269303.674,5958750,11819139.88,6456731.25,16306721.35,10990548.91,25470433.61,5886938.55,9425836.013,7062509.125,7663803.75,11308080.32,6281847.664,16446585.7,13153166.18,25395863.92
201405,8859972.305,6843142.076,18144382.4,19937806.76,10752670.4,33029986.47,15799613.84,12428798.58,24455643.35,12354930.54,8083764.289,13274374.91,9866674.474,6872008.833,10694676.68,17205936.85,22693227.05,13979624.75,21859475.75,7512032.423,12243199.6,7176689.5,10760821.5,14508912.33,13019495.26,24299995.26
201406,12679423.61,6472525.153,10076529.89,21336613.28,9257199.767,29128115.94,8226550.574,10928444.79,24725027.23,16699973.83,10154963.32,3884548.514,10362124.75,7725484.417,11744453.79,6849589.143,18933124.55,9061726.545,8212519.5,9151686.6,12118456.64,11516907.25,13243118.71,19701364.96,14378493.64,11877341.83
