Sale_YearMonth,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
201012,139140,90875,167662.7333,202721.2206,117372.5952,298181.2997,186217.0177,167920,236133.9286,146460,123769.2308,115000,160136.7661,121777.7778,136330.2083,152261.6061,223902.439,111966.6667,143055.5556,99332.1,122321.4286,136548.8372,148414.6341,135611.1111,147785.2273,267979.5
201101,163343.5117,109769.2308,158350,203180.1906,119755.05,298130.9977,190628.054,138673.5294,240403.8462,157052.6316,107937.5,91907.14286,188327.5862,133785.7143,163879.0323,138722.2222,220194.4444,132750,144151.1538,138542.8571,147666.6663,128580.3862,152125,168642.8571,147878.75,253554.4815
201102,178500,128181.8182,154686.9473,187273.1111,103750,280174.3972,210594.3383,149039.2308,207467.2348,157899.69,124818.1818,84100,170241.6667,111333.3333,174826.087,104150,184699.7097,123363.6364,117500,95111.11111,120350,129106,148303.5714,101315.7895,143250,274275.8621
201103,134444.4444,110833.875,164914.2857,185795.832,119664.4052,275527.6225,172367.1531,155923.4146,181860.3922,151338.7484,121500,107000,158954.878,109071.4286,137831.4815,147120.6897,213407.4074,136000,117809.375,90875,117020.8308,146940.8485,152003.8462,147450,142260,202311.8519
201104,95277.77778,120890.8182,135731.3636,186039.5606,116830.3226,299782.2517,180028.2672,138031.4251,215842,172555.0667,149892.8571,132333.3333,169535.7143,55600,123062.5,139159.125,198610.5863,128666.6667,132937.5,108046.01,140833.3333,120347.8261,127183.5333,117750,147150,248651.2121
201105,116956.25,107750,136444.5731,180260.8284,117674.9525,268630.2556,176540.5128,170197.4737,226603.4483,129486,112236.75,100833.3333,138156.7568,80117.625,153010.1852,106968.4545,168538.303,108145.8333,123944.5,105840.7143,99500,115487.931,127673.5294,118642.8571,144928.5714,263243.3871
201106,146491.1765,105041.6667,168841.6959,183315.5387,94337.27588,284106.8182,164260.617,160591.0714,228752.0833,153023.8095,113822.9167,109772.7273,162859.4911,84491.56875,120375,123769.4595,170487.5,59181.81818,127963.6364,91939.04762,129269.2308,141030,163348.4848,148255.4231,120318.2927,218043.8358
201107,115055.0909,114875,119891.4667,181537.0231,115956.7085,274909.2098,174323.2759,140138.6288,225560.3448,135442.8571,92077.94118,109705.1607,151308.642,101333.3333,127289.5254,128051.25,196194.5238,91565.16667,109090.9091,95275.92308,119126.9231,118004.6471,134883.0612,109663.375,136874.4815,238673.913
201108,130041.6667,117873.2188,153130.6,184587.3333,111370.5627,288202.6488,156307.4324,136539.881,212619.5652,140640,121805.6159,81081.44444,166697.3683,56857.14286,159829.745,105443.5263,224131.3415,128500,131393.7807,122864.7059,138423.0769,111071.4286,137086.2069,132161.6957,124723.4043,214268.0435
201109,102818.1818,105565.2833,138218.6243,178588.0707,112579.3333,266154.7808,166657.5342,145768.75,201095.2321,142387.6071,109697.5,69071.42857,148632.54,84346.80571,144694.8718,99316.5,169843.1373,67000,132666.6667,93536.94444,88588.75,124984.375,129916.6667,131422.1053,118792.3503,240909.0909
201110,80145.90909,89600,142062.7222,189927.3792,101956.2373,256559.3747,165373.88,138053.1333,206085.7747,144260,119685.9375,102250,140822.3198,61691.996,130253.701,105088.4375,172460.9375,91750,94400,77930.6,102356.6667,136874.4872,126412.275,131446.4286,118721.4244,220108.9744
201111,126509.1788,107866.625,127728.95,172280.2161,101295.711,260518.5941,174014.2642,133080.0806,192349.0846,108903.303,101598.2692,84084.55,132919.6484,88461.37167,123651.9968,125706.3953,192538.7931,113724.8571,119490.9091,77142.05556,103476.1905,95763.43243,123525.641,125761.1,129417.1591,246516.98
201112,98789.75,118050,135939.3939,167784.1046,104563.8495,248404.7198,149814.0606,121640.8163,172260,122459.5333,106649.1154,91786.8,143809.5075,91991.66667,126275.6098,122864.7584,169901.3737,117805.9722,79730.76923,74588.54167,141400,124989.6667,121713.4975,118318.1818,127037.7358,197984.2754
